Parameter,Well,Era,Value,Unit,Note
c4_centroid_beta3,,,0.01846592360638137,per month,C4 centroid β₃ (canonical; matches Table 1)
c4_centroid_beta3_p,,,0.0011734395521730604,,C4 centroid β₃ p-value (significant)
c4_vif,,,1.0948671407548929,,"C4 VIF of h_disp_prev on {P,PET} — 2nd lowest of 5 clusters (no collinearity)"
c4_corr_pet_hdisp,,,-0.0404770558308014,,"C4 corr(PET, h_disp_prev) — lowest of 5 clusters BY MAGNITUDE (signed value is the largest)"
c4_hd_sd,,,0.47823935103635035,m,C4 SD of displacement — largest of 5 clusters (adequate leverage)
c4_closure_min_beta3,,,0.019,per month,β₃ minimising the C4 water-balance closure residual (near canonical)
c4_perwell_n_nonsig,,,5.0,wells,"C4 per-well fits with non-significant β₃ (sampling noise, not collinearity)"
c4_perwell_sig_window100,,,4.0,wells,"C4 wells with significant positive β₃, 100-month window"
c4_perwell_sig_fullrecord,,,7.0,wells,"C4 wells with significant positive β₃, full record"
c4_centroid_beta3_excl,,,0.02905854278545607,per month,"C4 centroid β₃ excluding MSL5_EXCLUDED_WELLS — sensitivity, not the headline"
c4_centroid_halflife_excl,,,23.85347350958247,months,"C4 t½ = ln(2)/β₃ under the same exclusion — sensitivity, not the headline"
