Cluster,Cluster_Label,Lag_months,beta_1_recharge,pvalue_beta_1,beta_2_atmospheric_draw,pvalue_beta_2,beta_3_drainage,pvalue_beta_3,R2,n,beta_1_physically_coherent,beta_2_physically_coherent
1,C1 (Lake Edge),0,4.57835577892712,5.3737351629499413e-67,0.9629506136304937,1.883688795220002e-05,0.08955958129072883,3.155490769188332e-35,0.7325545113087051,236,True,True
1,C1 (Lake Edge),1,0.42941757322191615,0.2974922677855871,1.0176800247607074,0.02108381522071847,-0.004399947661257635,0.7568522042438035,0.036974824488707037,236,True,True
1,C1 (Lake Edge),2,1.1091924214505697,0.009024860691648174,0.7357751206498837,0.09877895697519233,0.015969404727063673,0.2788737589159321,0.06095907633379449,235,True,True
1,C1 (Lake Edge),3,-0.8785923288314028,0.04714857829549381,1.4389272515169558,0.0015128583068363436,-0.041817289563228076,0.006360572670987819,0.04598204802236561,234,False,True
2,C2 (Dune),0,3.9776741046744113,2.5097150069898197e-69,1.765718279334922,9.021303180679974e-17,0.06562089284915519,7.578773288103678e-26,0.7473289981511073,247,True,True
2,C2 (Dune),1,1.099995377255195,0.0012804301614511083,1.5633046479286716,5.3359713202167803e-05,0.0022222595115630695,0.8579951844148436,0.13633453636316828,247,True,True
2,C2 (Dune),2,1.031198761509091,0.004663619436418548,1.5102306212983776,0.0001595286627164846,0.0014983150564528637,0.9111712624124658,0.1281768241323178,246,True,True
2,C2 (Dune),3,-0.346058429528579,0.37213529450511434,2.058881564923189,7.170999375781345e-07,-0.04094870822543962,0.004307073026528196,0.10226186201193532,245,False,True
3,C3 (Western Residual),0,3.5719369716436504,1.1696433837222656e-83,1.8495107845653336,6.71806285861132e-27,0.05820851851812369,2.106795763562858e-28,0.8128691248175766,248,True,True
3,C3 (Western Residual),1,1.2849375906143952,9.780367561424044e-06,1.5620507296936799,3.4668778377400363e-06,0.00609658974107998,0.5991976768088816,0.19780675819173932,248,True,True
3,C3 (Western Residual),2,0.8157525296062045,0.010346729319931343,1.6482499559796366,4.174856881520096e-06,-0.007735815531173147,0.5520206445131612,0.154283741791701,247,True,True
3,C3 (Western Residual),3,-0.2015683302775732,0.551602960825264,2.0815516667856215,2.1266562737465272e-08,-0.04249279132597198,0.0022182831875748395,0.13324368557561894,246,False,True
4,C4 (Main Forest),0,2.5183742397928333,4.90453047678324e-47,2.547981719800747,5.696824305085687e-31,0.020453671716039325,0.002710400697343284,0.6845137669611306,236,True,True
4,C4 (Main Forest),1,1.6173762068629194,6.5101873688728e-13,2.0369411154305133,1.029616201062068e-12,0.0058483259582596,0.5950224353015073,0.38353491334969947,236,True,True
4,C4 (Main Forest),2,1.157362603248032,1.2540102867706327e-06,2.060552723875845,2.3066789400754577e-12,-0.007342085089439879,0.5469482951166798,0.3351657301254275,235,True,True
4,C4 (Main Forest),3,0.702950548472599,0.007871488116470192,2.200644941049946,1.5574310739009536e-12,-0.025563023103492084,0.060506731592999276,0.2841199651351882,234,True,True
5,C5 (Coastal Forest),0,2.411998967784741,6.777745534445179e-54,1.3237441589361318,3.8151797122760873e-16,0.04520927705518085,4.4047106114548573e-16,0.679926908518671,238,True,True
5,C5 (Coastal Forest),1,1.1595539765619929,3.520916879310938e-08,1.0382489549975231,2.6108584647974285e-05,0.015665570558608836,0.09544126679415413,0.22133996890287788,238,True,True
5,C5 (Coastal Forest),2,0.5925478008006234,0.010787655245562239,1.1224402700210911,3.139554311001721e-05,-0.002566469659048225,0.8126591209325114,0.13642227925470019,237,True,True
5,C5 (Coastal Forest),3,0.06636993623098222,0.787240343707744,1.3308924571004286,1.7832086104537297e-06,-0.022903658379493087,0.04639705901491749,0.11329951926464266,236,True,True
