baseline_end,current_end,change_mm,n_common,admissible
2017,2019,-161.06524034453997,61,True
2017,2020,-131.06077212806025,60,True
2017,2021,-123.46077212806011,60,True
2018,2019,-121.0532698748458,62,True
2017,2023,-104.68188323917133,60,True
2018,2020,-90.42572785093614,61,True
2018,2021,-82.81988712711632,61,True
2017,2022,-81.37188323917138,60,True
2016,2019,-67.93892376368842,54,True
2018,2023,-63.835187673564405,61,True
2018,2022,-40.39365761891963,61,True
2017,2018,-39.16418808091851,62,True
2016,2020,-37.002551256084985,53,True
2016,2021,-32.24783427495288,53,True
2022,2023,-23.424999999999955,72,True
2016,2023,-16.64973121040913,55,True
2024,2025,-9.621621621621614,74,True
2016,2022,5.867866359768357,54,True
2020,2021,8.969945355191271,68,True
2021,2023,20.739542250732597,69,True
2017,2025,21.7464500941619,60,True
2020,2023,29.85327868852471,68,True
2019,2020,32.60512820512804,65,True
2017,2024,33.36867231638422,60,True
2019,2021,40.50189155107182,65,True
2021,2022,44.448720994693986,69,True
2015,2019,46.30701506591333,52,True
2016,2018,50.462390001712095,55,True
2020,2022,53.626808100289395,68,True
2019,2023,60.04137873055902,65,True
2018,2025,61.23093254501475,61,True
2018,2024,74.2254680641405,61,True
2015,2020,78.36989771426477,51,True
2015,2021,83.40257745282679,51,True
2019,2022,83.71214796132824,65,True
2016,2017,88.10019841269838,56,True
2015,2023,98.08046761183971,53,True
2016,2025,100.91292808816331,54,True
2022,2025,106.41924882629104,71,True
2016,2024,114.88420818353029,55,True
2022,2024,116.1541666666667,72,True
2015,2016,116.73809523809535,56,True
2015,2022,119.97816891206736,52,True
2023,2025,129.93004694835673,71,True
2023,2024,139.913698630137,73,True
2021,2025,149.0401237544196,68,True
2020,2025,157.85656145501991,67,True
2021,2024,159.95258572899343,69,True
2015,2018,164.37920975020432,53,True
2020,2024,169.04494535519137,68,True
2019,2025,184.93317110655744,64,True
2019,2024,197.821378730559,65,True
2015,2017,203.54835390946505,54,True
2015,2025,212.40957916847725,52,True
2015,2024,228.95531037913526,53,True
