region,imagery_date,frame,leaf_state,viewpoint,n_px,index,ratio_to_conifer,withheld_reason
broadleaf_restock,2006-01-01,aerial 1-1-2006.png,leaf_off,aerial,31706,0.5708869665503863,0.5676560823539125,
clearfell,2006-01-01,aerial 1-1-2006.png,leaf_off,aerial,28575,1.5214165465842733,1.5128062244633897,
felling_experiment,2006-01-01,aerial 1-1-2006.png,leaf_off,aerial,25581,1.5717742438710682,1.5628789268249759,
felling_1998_1,2006-01-01,aerial 1-1-2006.png,leaf_off,aerial,29896,0.14601819620016793,0.14519181915857698,
felling_1998_2,2006-01-01,aerial 1-1-2006.png,leaf_off,aerial,11920,0.35746597432775185,0.35544292732387406,
felling_1998_3,2006-01-01,aerial 1-1-2006.png,leaf_off,aerial,16640,-0.046998906246604036,-0.046732920101638674,
forest_control,2006-01-01,aerial 1-1-2006.png,leaf_off,aerial,156622,1.4757728732971214,1.4674208675003668,
warren_control,2006-01-01,aerial 1-1-2006.png,leaf_off,aerial,120367,-0.15653091286167942,-0.15564504003175594,
forest_in_view,2006-01-01,aerial 1-1-2006.png,leaf_off,aerial,879182,1.0056916226160675,1.0,
broadleaf_restock,2006-01-01,site1-1-2006m.png,leaf_off,site,31706,,,ground sampling distance 2.95 m/px > 2.0 — the 5 px texture window spans 15 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
clearfell,2006-01-01,site1-1-2006m.png,leaf_off,site,28575,,,ground sampling distance 2.95 m/px > 2.0 — the 5 px texture window spans 15 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_experiment,2006-01-01,site1-1-2006m.png,leaf_off,site,25581,,,ground sampling distance 2.95 m/px > 2.0 — the 5 px texture window spans 15 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
felling_1998_1,2006-01-01,site1-1-2006m.png,leaf_off,site,29896,,,ground sampling distance 2.95 m/px > 2.0 — the 5 px texture window spans 15 m of ground and cannot resolve a crown. Measured: this viewpoint's index correlates with the aerial index of the same region on the same day at r = +0.089
