Parameter,Well,Era,Value,Unit,Note
C1_median_dNSE,,,1.2639,,"median ΔNSE (SSM−TLM), C1, n=7"
C1_median_TLM_NSE,,,-0.5631,,"median TLM iterative NSE, C1, n=7"
C2_median_dNSE,,,0.5859,,"median ΔNSE (SSM−TLM), C2, n=24"
C2_median_TLM_NSE,,,0.2062,,"median TLM iterative NSE, C2, n=24"
C3_median_dNSE,,,0.3336,,"median ΔNSE (SSM−TLM), C3, n=21"
C3_median_TLM_NSE,,,0.4694,,"median TLM iterative NSE, C3, n=21"
C4_median_dNSE,,,0.1582,,"median ΔNSE (SSM−TLM), C4, n=9"
C4_median_TLM_NSE,,,0.5798,,"median TLM iterative NSE, C4, n=9"
C5_median_dNSE,,,0.244,,"median ΔNSE (SSM−TLM), C5, n=5"
C5_median_TLM_NSE,,,0.6032,,"median TLM iterative NSE, C5, n=5"
dNSE_vs_beta3_r,,,0.7159,,"Pearson r, ΔNSE vs beta_3_drainage, n=66"
dNSE_vs_beta3_p,,,0.0,,"p-value, ΔNSE vs beta_3_drainage, n=66"
dNSE_vs_beta2_r,,,-0.7076,,"Pearson r, ΔNSE vs beta_2_atmospheric_draw, n=66"
dNSE_vs_beta2_p,,,0.0,,"p-value, ΔNSE vs beta_2_atmospheric_draw, n=66"
