well,E,N,dist_forest_m,dist_cost_m,dist_basis,dd_mm
ceh2,241421.0,363979.0,0.0,0.0,inside,150.0
nw11,241689.0,364237.0,0.0,0.0,inside,150.0
nw10,241435.0,364325.025,0.0,0.0,inside,150.0
nw9,240937.259,363567.162,0.0,0.0,inside,150.0
ceh17,240804.597413,363576.069469,0.0,0.0,inside,150.0
ceh13,240964.108,364066.298,0.0,0.0,inside,150.0
ceh16,240988.214,363614.897,0.0,0.0,inside,150.0
ceh14,241292.0,364488.0,0.0,0.0,inside,150.0
ceh20,241153.0,363829.0,0.0,0.0,inside,150.0
ceh19,240845.741,363532.891,0.0,0.0,inside,150.0
ceh34,241334.0,363887.0,0.0,0.0,inside,150.0
wmc3,241217.327,363562.323,0.0,0.0,inside,150.0
ceh32,241167.0,364003.0,0.0,0.0,inside,150.0
ceh33,240936.0,363808.0,0.0,0.0,inside,150.0
ceh30,241072.0,363760.0,0.0,0.0,inside,150.0
ceh31,241075.0,363538.0,0.0,0.0,inside,150.0
fe1,241338.0,363744.0,0.0,0.0,inside,150.0
fe2,241135.0,363595.0,0.0,0.0,inside,150.0
fe3,241104.1,363546.1,0.0,0.0,inside,150.0
fe4,241223.2,363692.4,0.0,0.0,inside,150.0
ceh12,240339.0,364588.0,0.0,0.0,inside,150.0
ceh15,240679.892,363754.368,0.0,0.0,inside,150.0
nw12,241262.0,364524.0,0.0,0.0,inside,150.0
lis1,241406.0,363720.0,18.54189088919834,6.245838950873026,cost,145.82607152284504
ceh3,240743.0,363388.0,11.970422922265465,6.424378624033425,cost,145.70848126485456
ceh1,241595.864,363948.335,49.08278243419959,14.218758745377084,cost,140.66630443986494
nw2,241703.008,364112.082,46.886010200040666,17.44525792833151,cost,138.63049825971308
ceh35,241081.0,363212.0,31.501598526021255,20.139860435566987,cost,136.95289606231748
wmc4,241760.293,364180.707,56.2495498035861,26.706950968963667,cost,132.94890117833427
nw8b,241272.0,363487.0,36.9987563221845,27.84383547852149,cost,132.26771986075602
nw8,241276.11,363480.129,44.2388577066682,27.84383547852149,cost,132.26771986075602
ceh38,241130.0,363261.0,44.912701438782115,27.90276002995804,cost,132.23250962506262
ceh36,241161.0,363306.0,45.60081442329978,28.023058376219645,cost,132.1606547124506
nw1,241725.0,364139.0,50.16189118507,33.1542792365173,cost,129.1318256540416
nw13,241761.0,364180.0,57.23049555498308,38.12657559914243,cost,126.26304393593178
ceh4,241131.693,363211.05,74.1355475853775,68.31367056137168,cost,110.16426276518419
nw7,241423.695,363584.862,108.49613599654853,83.15214003549039,cost,103.02046493167161
p1,241243.0,363283.0,126.51735206111702,106.10135268485634,cost,92.87326897171096
ceh27,242005.373,364330.297,201.0066923135852,163.45691610048576,cost,71.6709360247325
ceh18,241267.167,363202.889,191.20315551410062,167.41606505126816,cost,70.40023663454642
nw6,241444.307,363316.599,275.00920426951143,225.9307933824614,cost,54.04454406849542
ceh26,242172.261,364362.239,367.2990890851272,280.5445743711843,cost,42.226428017116
d15,241980.565,363895.719,397.91143563249847,331.30171811245924,cost,33.57257358997034
d6,242114.898,364021.851,439.2448936733037,333.2237466518727,cost,33.28228053581968
ceh9,241711.211,363459.012,417.3875692191537,351.53319099758846,cost,30.63972242829271
ceh39,241719.0,363435.0,437.2290513675396,374.974855385208,cost,27.560413251239407
ceh22,241375.022,362906.94,446.94101620159825,377.5708460027624,cost,27.239031734764385
nw3,242091.94,363939.361,466.11416679252716,377.58046433368247,cost,27.23784798873345
p2,242303.0,364558.0,538.2244373872467,397.01906262885234,cost,24.947603074139366
d5,242083.407,363901.712,479.9931330946723,397.51483561787825,cost,24.89178151692336
ceh23,242325.311,364428.124,526.1280168644885,406.99596745720896,cost,23.84796623733238
ceh21,241470.51,362937.659,507.8010126051062,461.45283316421774,cost,18.646260528164547
ceh28,242331.051,364122.039,572.6134986644349,472.05794028018136,cost,17.773852096555988
nw5,241711.757,363023.697,660.2637119792031,526.5837349751288,cost,13.892701474827161
ceh25,242512.557,364638.544,762.4466992034601,583.3088804132569,cost,10.751674410672866
ceh5,242521.077,364465.817,725.3815177328277,589.52496860151,cost,10.453901431283827
ceh40,242060.283,363398.508,741.01601832177,593.9755201986516,cost,10.245783482311907
llynrhos,242560.208,364820.878,864.5531361404188,618.8646122660193,cost,9.156000647369925
ceh6,242621.679,364724.912,893.0519572168474,656.1549547124151,cost,7.736272058441453
pw,242056.0,363286.0,800.1132166922583,672.1486321553348,cost,7.196936419566026
d7,242610.75,364204.554,818.335522845089,688.2862722575823,cost,6.690847061739423
nw4b,242414.677,363751.66,838.7038882687733,695.998389215648,cost,6.461714606296539
d10,242613.907,364118.797,840.7424283997007,709.8512842613717,cost,6.069662155672468
nw4,242431.164,363744.512,856.3784129344883,711.9926480357533,cost,6.011219185607015
wmc2,241885.149,362855.856,897.7497070671844,760.4015660154344,cost,4.830262448602168
d8,242676.867,364024.231,930.0908493878088,764.1118322350911,cost,4.749962144790378
