Parameter,Well,Era,Value,Unit,Note
msl5_mean_2017,,window-end 2017,-587.8003447285262,mm,"network mean MSL5 below ground, n=59 (springs 2013-2017)"
msl5_mean_2023,,window-end 2023,-684.6137816060017,mm,"network mean MSL5 below ground, n=59 (springs 2019-2023)"
msl5_deepening,,,-96.81343687747551,mm,"2023 minus 2017 network-mean change (below ground, n=59)"
msl5_n_significant,,,56.0,wells,wells with |raw change| >= 25 mm of 59
msl5_change_wmc3,WMC3,,-85.33333333333326,mm,raw below-ground MSL5 change 2017->2023
msl5_change_ceh36,CEH36,,-73.99999999999996,mm,raw below-ground MSL5 change 2017->2023
msl5_change_ceh22,CEH22,,-228.66666666666646,mm,raw below-ground MSL5 change 2017->2023
msl5_change_ceh21,CEH21,,-193.99999999999994,mm,raw below-ground MSL5 change 2017->2023
msl5_change_ceh18,CEH18,,-157.99999999999991,mm,raw below-ground MSL5 change 2017->2023
msl5_change_ceh25,CEH25,,-12.666666666666714,mm,raw below-ground MSL5 change 2017->2023
