document,type,number,source
report9.odt,Table,1.25,37b_driver_footing.csv
report9.odt,Table,1.1,00_01_annual_climate_summary_short.csv
report9.odt,Table,1.2,02_09_cluster_amplitude_summary.csv
report9.odt,Table,1.3,03_03_cluster_mechanistic_coefficients.csv
report9.odt,Table,1.3,03_14_centroid_window_sensitivity.csv
report9.odt,Table,1.3,03_02_cluster_summary_table.csv
report9.odt,Table,1.5,16_water_bal_table.csv
report9.odt,Table,1.7,16_water_bal_vol_table.csv
report9.odt,Table,1.6,16_water_bal_rec_table.csv
report9.odt,Table,1.8,17_wtf_01_sy_estimates.csv
report9.odt,Table,1.9,08_lcsc_model_stats.csv
report9.odt,Table,1.9,08_lcsc_04_table3_benchmark_summary.csv
report9.odt,Table,1.10,09_scrape_04b_beta3_era_summary.csv
report9.odt,Table,1.11,10a_01_ancova_comparison_table.csv
report9.odt,Table,1.12,25_04_baci_corroboration.csv
report9.odt,Table,1.13,10d_02_summer_minima_shifts.csv
report9.odt,Table,1.14,10d_03_mixed_model_results.csv
report9.odt,Table,1.15,10e_01_coefficient_shifts.csv
report9.odt,Table,1.16,11_forecast_winter_transfer_functions.csv
report9.odt,Table,1.17,11_forecast_summer_transfer_functions.csv
report9.odt,Table,1.18,11b_03_pflood_per_well.csv
report9.odt,Table,1.19,11_forecast_pflood_summary.csv
report9.odt,Table,1.20,26_curreli_min_cluster_threshold_summary.csv
report9.odt,Table,1.21,26_ebf_prediction_summary.csv
report9.odt,Table,1.22,26_ebf_band_summary.csv
report9.odt,Table,1.23,10c_forest_zone_correlations.csv
report9.odt,Table,1.24,25_03_cluster_partition.csv
Newborough_Methods_Supplement_v1_9_6.odt,Table,2,
Newborough_Methods_Supplement_v1_9_6.odt,Table,3,
Newborough_Methods_Supplement_v1_9_6.odt,Table,6,d from 09_scrape_04b_beta3_era_summary.csv
Newborough_Methods_Supplement_v1_9_6.odt,Table,7,10a_report_numbers.csv
Newborough_Methods_Supplement_v1_9_6.odt,Table,8,25_04_baci_corroboration.csv
Newborough_Methods_Supplement_v1_9_6.odt,Table,9,10d_02_summer_minima_shifts.csv
Newborough_Methods_Supplement_v1_9_6.odt,Table,10,
Newborough_Methods_Supplement_v1_9_6.odt,Table,11,10e_01_coefficient_shifts.csv
Newborough_Methods_Supplement_v1_9_6.odt,Table,17,10c_forest_zone_analysis.py (10c_04_forest_zone_summary.txt; underlying correlations in 10c_forest_zone_correlations.csv
Newborough_Methods_Supplement_v1_9_6.odt,Table,12,
Newborough_Methods_Supplement_v1_9_6.odt,Table,13,
Newborough_Methods_Supplement_v1_9_6.odt,Table,6,
Newborough_Methods_Supplement_v1_9_6.odt,Table,7,
Newborough_Methods_Supplement_v1_9_6.odt,Table,8,
Newborough_Methods_Supplement_v1_9_6.odt,Table,10,
Newborough_Methods_Supplement_v1_9_6.odt,Table,3,
Newborough_Methods_Supplement_v1_9_6.odt,Table,3,
Newborough_Methods_Supplement_v1_9_6.odt,Table,3,
Newborough_Methods_Supplement_v1_9_6.odt,Table,3,
Newborough_Methods_Supplement_v1_9_6.odt,Table,3,
Newborough_Methods_Supplement_v1_9_6.odt,Table,3,
Newborough_Methods_Supplement_v1_9_6.odt,Table,16,26_msl_5yr_per_cluster.csv
Hollingham_2026_Paper2_amended.odt,Table,1.,
academic_Summary_v1_4.odt,Table,1.,
academic_Summary_v1_4.odt,Table,2.,
Newborough_Methods_Supplement_v*.odt,Table,Table12,03_03_cluster_mechanistic_coefficients.csv
Newborough_Methods_Supplement_v*.odt,Table,Table42,15_03_benchmark_table.csv
Newborough_Methods_Supplement_v*.odt,Table,Table42,15_04_best_params.csv
Newborough_Methods_Supplement_v*.odt,Table,Table71,11_forecast_spring_transfer_functions.csv
Newborough_Methods_Supplement_v*.odt,Table,Table73,26b_msl5_ukcp18_projection_summary.csv
Newborough_Methods_Supplement_v*.odt,Table,Table5,17_wtf_01_sy_estimates.csv
Newborough_Methods_Supplement_v*.odt,Table,Table45,17_wtf_01_sy_estimates.csv
Newborough_Methods_Supplement_v*.odt,Table,Table46,17_wtf_01_sy_estimates.csv
Newborough_Methods_Supplement_v*.odt,Table,Table31,10h_02_ancova_comparison_table.csv
Paper1_v*.odt,Table,Table1,03_03_cluster_mechanistic_coefficients.csv
Paper1_v*.odt,Table,Table2,16_water_bal_table.csv
Paper1_v*.odt,Table,Table3,16_water_bal_vol_table.csv
Paper1_v*.odt,Table,Table4,17_wtf_01_sy_estimates.csv
Paper1_v*.odt,Table,Table5,08_lcsc_04_table3_benchmark_summary.csv
Paper1_v*.odt,Table,Table6,07_coeff_05_cluster_ranges.csv
Paper1_v*.odt,Table,Table8,10c_forest_zone_correlations.csv
academic_Summary_v*.odt,Table,Table1,03_03_cluster_mechanistic_coefficients.csv
Hollingham_2026_Paper2_amended_v*.odt,Table,Table1,10a_01_ancova_comparison_table.csv
Paper1_v*.odt,Table,Table7,18_wtf_08_cluster_half_life_summary.csv
report9.odt,Table,1.18,11b_06_pflood_cluster_summary.csv
report9.odt,Table,1.4,07_coeff_05_cluster_ranges.csv
Newborough_Methods_Supplement_v*.odt,Table,Table66,26_msl5_vs_min5_per_cluster.csv
Supplementary_Material_v*.odt,Table,TableS82,25_08_spring_vs_summer_comparison.csv
Supplementary_Material_v*.odt,Table,Table4,26_table_s7_1_ewi_per_well.csv
Newborough_Methods_Supplement_v*.odt,Table,Table78,29_headline_models.csv
