document,kind,key,page,pdf,pdf_built,n_matches
academic_Summary,para,newboroughwarrengroundwa,1,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,evidencesummaryhydrogeol,1,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,hollinghamm2026draftsumm,1,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,fullreportmethodssupplem,1,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,a21yeardipwellmonitoring,1,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,clusteranalysishierarchi,1,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,figure1thefivehydrogeolo,1,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,thek5partitionyieldsfive,2,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,table1ssmmechanisticcoef,2,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,climateforcingandthresho,2,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,summermaximumtemperature,2,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,thevanwillegenetal2025fi,2,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,ukcp18rcp8550thpercentil,2,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,figure2projectedsummermi,3,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,figure3ukcp18rcp85projec,3,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,managementinterventionan,3,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,2
academic_Summary,para,dunescrapingceh36april20,3,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,ceh36threeindependentest,3,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,ceh18ceh21october2023ins,4,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,fivetierancovabacidesign,4,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,thenullsummerresultiscon,4,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,observedspringbaselinech,5,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,msl5comparisonwindowend2,5,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,figure4msl5change2017202,5,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,differentialspringmoveme,5,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,figure5differentialsprin,6,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,anetworkscaleregressiono,6,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,thescaleofobservedchange,6,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,themanagementinterventio,6,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,table2headlinequantitati,7,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,thesummerminimumwatertab,7,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,dunescrapingatwellchosen,7,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,clearfellraisesmeanwater,7,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,asitewidedeclineinrechar,7,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,thecoastalretreatboundar,7,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,thehydraulicpositionofth,7,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
academic_Summary,para,climateandcoastalforcesa,7,docs/academic_summaries/academic_summary.pdf,2026-09-23T07:41Z,1
crynodeb_academaidd,para,astudiaethdrdaearcwninga,1,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,crynodebtystiolaethdynam,1,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,hollinghamm2026drafftcry,1,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,fullreportmethodssupplem,1,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,dadansoddwydsetddatamoni,1,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,rhannodddadansoddiadclys,1,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,ffigur1ypumparthhydrodda,1,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,maerrhaniadk5yncynhyrchu,2,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,tabl1cyfernodaumecanisti,2,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,gorfodaethhinsawddadadan,2,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,maetymheredduchafswmyrha,2,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,maecanfyddiadvanwillegen,2,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,maerhagamcanioncanradd50,2,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,ffigur2llwybrisafswmhafr,3,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,ffigur3rhagamcanionukcp1,3,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,crafutwyniceh36ebrill201,3,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,ceh36maetriamcangyfrifwr,3,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,ceh18ceh21hydref2023cofn,4,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,cynllunancovabacipumhaen,4,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,maerdiganlyniadhafyngyso,4,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,newidsylfaenolygwanwynaa,5,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,cymhariaethmsl5diweddffe,5,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,ffigur4newidmsl520172023,5,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,maedadansoddiadsymudiadg,5,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,ffigur5symudiadgwanwyngw,6,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,maecydnewidyndwyreinioam,6,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,graddfarnewidaarsylwydyn,6,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,maerymyriadaurheoliaastu,6,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,tabl2prifganlyniadaumein,7,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,ylefelddrisafswmhafywrne,7,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,crafutwynimewnsafleoeddm,7,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,maeclirdorriyncodilefela,7,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,gostyngiadardrawsysaflem,7,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,maesignalffinciliorarfor,7,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,maesaflehydroligygoedwig,7,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
crynodeb_academaidd,para,maegrymoeddhinsawddacarf,7,docs/academic_summaries/crynodeb_academaidd.pdf,2026-09-20T22:45Z,1
