record,well,cluster,stability_wells,stability_months,replicate,splithalf_ari,n_wells,intact_rate,merge_rate
well,Ceh32,1,0.987653901608654,0.9975,,,,,
well,ceh13,1,0.9253342132152589,0.995,,,,,
well,ceh14,1,0.9122022279348757,0.995,,,,,
well,ceh2,1,1.0,0.998,,,,,
well,ceh20,1,1.0,0.998,,,,,
well,ceh30,1,1.0,0.998,,,,,
well,ceh33,1,1.0,0.998,,,,,
well,ceh34,1,1.0,0.998,,,,,
well,nw10,1,1.0,0.998,,,,,
well,ceh16,2,0.9891051643760973,0.9915,,,,,
well,ceh17,2,0.9987437185929648,0.9955,,,,,
well,ceh19,2,0.9903614457831325,0.995,,,,,
well,ceh31,2,0.9263973436635307,0.859,,,,,
well,nw9,2,1.0,0.9955,,,,,
well,D15,3,0.35207823960880197,0.314,,,,,
well,D25,3,0.468586387434555,0.496,,,,,
well,D38,3,0.2757731958762887,0.37,,,,,
well,D9,3,0.29743589743589743,0.287,,,,,
well,T41a,3,0.3350253807106599,0.373,,,,,
well,WMC2,3,0.5275,0.52,,,,,
well,ceh1,3,0.3907766990291262,0.494,,,,,
well,ceh10,3,0.3366093366093366,0.376,,,,,
well,ceh18,3,0.30077120822622105,0.327,,,,,
well,ceh21,3,0.2457002457002457,0.316,,,,,
well,ceh36,3,0.3968668407310705,0.476,,,,,
well,ceh39,3,0.4652777777777778,0.498,,,,,
well,ceh4,3,0.21052631578947367,0.326,,,,,
well,ceh40,3,0.37468354430379747,0.313,,,,,
well,ceh41,3,0.3316582914572864,0.313,,,,,
well,ceh42,3,0.29743589743589743,0.322,,,,,
well,ceh9,3,0.43028846153846156,0.498,,,,,
well,nw1,3,0.4896373056994819,0.492,,,,,
well,nw11,3,0.5125628140703518,0.493,,,,,
well,nw13,3,0.43028846153846156,0.486,,,,,
well,nw2,3,0.5065274151436031,0.492,,,,,
well,nw5,3,0.4830097087378641,0.468,,,,,
well,nw6,3,0.5235732009925558,0.485,,,,,
well,nw7,3,0.2994791666666667,0.477,,,,,
well,wmc3,3,0.30077120822622105,0.476,,,,,
well,wmc4,3,0.47880299251870323,0.486,,,,,
well,D10,4,0.9864975450081833,0.999,,,,,
well,D17,4,0.9899839542696686,0.999,,,,,
well,D41,4,0.9906344086021506,0.999,,,,,
well,D43,4,0.8155310816065774,0.841,,,,,
well,D44,4,0.9747514066315156,0.957,,,,,
well,D5,4,0.9866056815003066,0.998,,,,,
well,D6,4,0.9885266172068203,0.999,,,,,
well,D7,4,0.819085198396414,0.839,,,,,
well,D8,4,0.9892297501027913,0.999,,,,,
well,L7,4,0.7337406456744152,0.839,,,,,
well,T41b,4,0.9909712576129928,0.999,,,,,
well,T41c,4,0.985964294103829,0.999,,,,,
well,T41d,4,0.9897567053577284,0.999,,,,,
well,WMC1,4,0.9828490415287481,0.997,,,,,
well,ceh24,4,0.9849443651743267,0.999,,,,,
well,ceh28,4,0.9874819828288526,0.987,,,,,
well,nw3,4,0.9920410403648032,0.998,,,,,
well,nw4,4,0.9923955104633926,0.999,,,,,
well,nw4b,4,0.9950566350942291,0.999,,,,,
well,ceh11,5,0.714242502808746,0.67,,,,,
well,ceh23,5,0.9975459199036435,0.9955,,,,,
well,ceh25,5,0.9802567888414756,0.9955,,,,,
well,ceh26,5,0.9929225364007972,0.9955,,,,,
well,ceh27,5,0.9718847684001137,0.991,,,,,
well,ceh5,5,0.983753292337979,0.991,,,,,
