Name,E,N,DEM_Ground_Elev,DGPS_Ground_Elev,Upstand_m,Pipe_Top_Elev,Upstand_Estimated,Name_norm
nw1,241725.0,364139.0,12.633,12.363,0.27,12.903,False,nw1
nw2,241703.008,364112.082,12.064,11.474,0.59,12.654,False,nw2
nw3,242091.94,363939.361,10.706,10.656,0.05,10.756,False,nw3
nw4,242431.164,363744.512,9.23,9.16,0.07,9.3,False,nw4
nw 4b,242414.677,363751.66,9.336,9.256,0.08,9.416,False,nw4b
nw5,241711.757,363023.697,5.725,5.725,0.0,5.725,False,nw5
nw6,241444.307,363316.599,6.441,6.361,0.08,6.521,False,nw6
nw7,241423.695,363584.862,8.504,8.474,0.03,8.534,False,nw7
nw8,241276.11,363480.129,7.334,7.244,0.09,7.424,False,nw8
nw9,240937.259,363567.162,5.18,5.149,0.031,5.211,False,nw9
nw10,241435.0,364325.025,11.8,11.66,0.14,11.94,False,nw10
nw12,241262.0,364524.0,13.8,13.72,0.08,13.88,False,nw12
nw11,241689.0,364237.0,12.1,11.95,0.15,12.25,False,nw11
ceh2,241421.0,363979.0,12.03,11.32,0.71,12.74,False,ceh2
ceh 1,241595.864,363948.335,10.692,10.652,0.04,10.732,False,ceh1
ceh5,242521.077,364465.817,9.638,9.588,0.05,9.688,False,ceh5
ceh6,242621.679,364724.912,8.611,8.461,0.15,8.761,False,ceh6
ceh3,240743.0,363388.0,4.372,4.362,0.01,4.382,False,ceh3
ceh4,241131.693,363211.05,4.549,4.479,0.07,4.619,False,ceh4
ceh7,243385.803,363612.9,5.449,5.379,0.07,5.519,False,ceh7
ceh8,243149.932,363382.305,5.694,5.494,0.2,5.894,False,ceh8
ceh10,242538.185,363173.915,5.818,5.778,0.04,5.858,False,ceh10
ceh9,241711.211,363459.012,7.983,7.983,0.0,7.983,False,ceh9
ceh25,242512.557,364638.544,9.076,9.051,0.025,9.101,False,ceh25
ceh26,242172.261,364362.239,10.45,10.425,0.025,10.475,False,ceh26
ceh11,242618.62,362688.287,3.584,3.534,0.05,3.634,False,ceh11
ceh12,240339.0,364588.0,34.899,34.879,0.02,34.919,False,ceh12
ceh13,240964.108,364066.298,11.325,11.235,0.09,11.415,False,ceh13
ceh14,241292.0,364488.0,14.42,14.42,0.0,14.42,False,ceh14
ceh15,240679.892,363754.368,5.914,5.865,0.049,5.963,False,ceh15
ceh16,240988.214,363614.897,6.167,6.097,0.07,6.237,False,ceh16
ceh17,240804.597413,363576.069469,6.091,6.001,0.09,6.181,False,ceh17
ceh18,241267.167,363202.889,5.204,5.144,0.06,5.264,False,ceh18
ceh19,240845.741,363532.891,4.8,4.65,0.15,4.95,False,ceh19
ceh20,241153.0,363829.0,8.728,8.618,0.11,8.838,True,ceh20
ceh21,241470.51,362937.659,4.222,4.172,0.05,4.272,False,ceh21
ceh22,241375.022,362906.94,3.281,3.231,0.05,3.331,False,ceh22
ceh23,242325.311,364428.124,10.018,9.958,0.06,10.078,False,ceh23
ceh24,242938.911,363392.114,5.958,5.808,0.15,6.108,False,ceh24
ceh34,241334.0,363887.0,9.8,9.75,0.05,9.85,False,ceh34
ceh37,242886.0,363346.0,6.02,5.84,0.0,6.02,False,ceh37
ceh27,242005.373,364330.297,10.94,10.9,0.04,10.98,False,ceh27
ceh28,242331.051,364122.039,10.396,10.536,-0.14,10.256,False,ceh28
ceh30,241072.0,363760.0,8.67,8.61,0.06,8.73,False,ceh30
ceh31,241075.0,363538.0,6.49,6.32,0.17,6.66,False,ceh31
Ceh32,241167.0,364003.0,11.07,11.03,0.04,11.11,False,ceh32
ceh33,240936.0,363808.0,8.83,8.77,0.06,8.89,False,ceh33
ceh40,242060.283,363398.508,7.77,7.804,0.05,7.82,True,ceh40
ceh41,242284.022,363324.592,7.15,6.869,0.06,7.21,False,ceh41
