date,Impact_beta1,Impact_beta3,C3_beta1,C3_beta3,C4_beta1,C4_beta3
2013-06-01,2.2209875862355704,0.03675927294750921,3.644047916845129,0.06806451570122768,2.4183633244294165,0.03159807484247993
2013-07-01,2.2303560085155736,0.038042974890565094,3.6517199742706317,0.06957363007923222,2.3900798437049597,0.03179528268060391
2013-08-01,2.2751812107265645,0.040201186140913225,3.680555224111157,0.07106116429424549,2.4096771559542876,0.03282410092596273
2013-09-01,2.31933238578185,0.04181489780319621,3.6872278004664025,0.07132788321208978,2.4242112535055913,0.033780959544536034
2013-10-01,2.1519457487169933,0.037042785450779186,3.5253994290164146,0.0673400896821837,2.3010179295552007,0.03003400809216241
2013-11-01,1.8802614611829915,0.029448599798415458,3.3039435910356447,0.06253216561433458,2.250672124616795,0.028713706629041408
2013-12-01,1.7842729852185784,0.0291371576632554,3.318698686705387,0.061970989705374624,2.172889936334766,0.027747385943072925
2014-01-01,2.072083249787313,0.029751046260411192,3.48680170828007,0.06534611464290872,2.413100128456395,0.028127227389780282
2014-02-01,2.0750218862659002,0.026114692401746856,3.4279029379312904,0.061218771304279614,2.393148000362883,0.023621655149165588
2014-03-01,2.0847684111955873,0.02506348263735882,3.4274236648126846,0.06387893464532488,2.3782777586796557,0.020318669699978045
2014-04-01,2.189848551078832,0.030179508455211,3.385208469057094,0.06238345403960719,2.477322470224749,0.02608295422645119
2014-05-01,2.1578569586356102,0.029811892875156953,3.3831906555693925,0.06300010202846221,2.4608046350435098,0.02635539241707319
2014-06-01,2.21238802476426,0.03073309132488026,3.4773108076960546,0.0644675567440333,2.5019623926428016,0.0272340920353266
2014-07-01,2.1536752230811427,0.027844771772640754,3.4212485302584716,0.06259730102461236,2.4898801851459678,0.02710649049520021
2014-08-01,2.2116959505222367,0.027735341758346355,3.328728284728398,0.05957744090480042,2.48765282536161,0.0263302670925259
2014-09-01,2.2246386370321236,0.027771249346147147,3.247022909249319,0.05760440473748507,2.4685543093810733,0.025761879500899112
2014-10-01,2.2762342640571323,0.02869235657088532,3.2784238178512792,0.05821629484276249,2.4214989449585502,0.024411519531358547
2014-11-01,2.2386130332589653,0.02875653814847546,3.2547990243777285,0.05651414456799169,2.404205975377515,0.02278245911419844
2014-12-01,2.2144839888579675,0.025523497155066757,3.25500435316009,0.056265733040234675,2.400103210513955,0.02158328422883985
2015-01-01,2.2408902282744814,0.029349503678597913,3.274050495699563,0.057204811819424085,2.406890970992066,0.02324293144058942
2015-02-01,2.2782167614117,0.03188850720428814,3.305850981766449,0.059111796963388044,2.443868516330592,0.02628385174813793
2015-03-01,2.239724051916503,0.030290218149731367,3.2860007274021714,0.058439045811831014,2.4354400735422184,0.02650919389554763
2015-04-01,2.2537567476461335,0.0308932859261803,3.3026511189746337,0.05908320235749002,2.4383657962871332,0.026878519648636495
2015-05-01,2.2230859916116454,0.030392838188323838,3.2717263614998573,0.058723857209536046,2.418420852997351,0.026933566026777794
2015-06-01,2.1866470219971275,0.029657475031815816,3.2487245912628717,0.058296690735038764,2.384875188977527,0.02614029292024948
2015-07-01,2.203232246998868,0.026977580101573362,3.252891683828107,0.0580393354947741,2.3946484751489674,0.02545297215407634
2015-08-01,2.202370815651898,0.02685115728609204,3.253654778758251,0.05795980693544274,2.3934518654936365,0.024724710412648225
2015-09-01,2.2097729847223144,0.027080260592531637,3.2535184584812367,0.05801221042126053,2.41594080489923,0.025701328247773686
2015-10-01,2.2121725090771296,0.027153454799590526,3.246716316438518,0.057928587492550296,2.438733078884568,0.02658082528004252
2015-11-01,2.1173558731081394,0.02486513275590683,3.2551816812016887,0.0572563824147206,2.39747184749535,0.02527864922614395
2015-12-01,2.544675827408164,0.03567641543030457,3.566801108719111,0.06381886005356861,2.5318065852420797,0.028800482998981886
2016-01-01,2.5583908234263597,0.03466984539172914,3.562804455350512,0.06438461178850138,2.5654949668233575,0.025958476159981463
2016-02-01,2.549422379165661,0.03253481123242515,3.566571638311236,0.06397964712539972,2.55553455342661,0.02192736793057678
2016-03-01,2.5874453871789695,0.0360621913489047,3.6000630994102956,0.06638008519296798,2.549564266777692,0.022122684715577393
2016-04-01,2.5921373827261136,0.03727913316439482,3.6138414454138372,0.0676508589085807,2.569415538526012,0.02354897114531674
