Date,CEH34,source,donor_value
2006-05-01,-0.345923778673766,hindcast,-0.1866666666666666
2006-06-01,-0.5276799731878667,hindcast,-0.36
2006-07-01,-0.73215569201623,hindcast,-0.5549999999999999
2006-08-01,-0.705940856269004,hindcast,-0.53
2006-09-01,-0.9680892137412647,hindcast,-0.78
2006-10-01,-0.7898283306601274,hindcast,-0.61
2006-11-01,-0.5486518417856476,hindcast,-0.38
2006-12-01,-0.26553161571560613,hindcast,-0.11
2007-01-01,-0.25504568141671574,hindcast,-0.1
2007-02-01,-0.25504568141671574,hindcast,-0.1
2007-03-01,-0.29698941861227746,hindcast,-0.14
2007-04-01,-0.3389331558078391,hindcast,-0.18
2007-05-01,-0.5801096446823188,hindcast,-0.41
2007-06-01,-0.6115674475789902,hindcast,-0.44
2007-07-01,-0.7898283306601274,hindcast,-0.61
2007-08-01,-0.8737158050512507,hindcast,-0.69
2007-09-01,-0.7898283306601274,hindcast,-0.61
2007-10-01,-0.9576032794423742,hindcast,-0.77
2007-11-01,-0.7898283306601274,hindcast,-0.61
2007-12-01,-0.6849689876712232,hindcast,-0.51
2008-01-01,-0.3389331558078391,hindcast,-0.18
2008-02-01,-0.40184876160118166,hindcast,-0.24
2008-03-01,-0.42282063019896254,hindcast,-0.26
2008-04-01,-0.5276799731878667,hindcast,-0.36
2008-05-01,-0.7478845934645656,hindcast,-0.57
2008-06-01,-0.7688564620623465,hindcast,-0.59
2008-07-01,-0.8317720678556891,hindcast,-0.65
2008-08-01,-0.9576032794423742,hindcast,-0.77
2008-09-01,-0.9471173451434838,hindcast,-0.76
2008-10-01,-0.4123346959000721,hindcast,-0.25
2008-11-01,-0.29698941861227746,hindcast,-0.14
2008-12-01,-0.26553161571560613,hindcast,-0.11
2009-01-01,-0.26553161571560613,hindcast,-0.11
2009-02-01,-0.286503484313387,hindcast,-0.13
2009-03-01,-0.42282063019896254,hindcast,-0.26
2009-04-01,-0.35990502440562,hindcast,-0.2
2009-05-01,-0.7793423963612369,hindcast,-0.6
2009-06-01,-0.9366314108445933,hindcast,-0.75
2009-07-01,-1.031004819534607,hindcast,-0.84
2009-08-01,-0.9890610823390455,hindcast,-0.8
2009-09-01,-1.1568360311212922,hindcast,-0.96
2009-10-01,-1.251209439811306,hindcast,-1.05
2009-11-01,-0.6849689876712232,hindcast,-0.51
2009-12-01,-0.4123346959000721,hindcast,-0.25
2010-01-01,-0.45427843309563376,hindcast,-0.29
2010-02-01,-0.6639971190734423,hindcast,-0.49
2010-03-01,-0.4857362359923051,hindcast,-0.32
2010-04-01,-0.7793423963612369,hindcast,-0.6
2010-05-01,-0.8737158050512507,hindcast,-0.69
2010-06-01,-1.0624626224312785,hindcast,-0.87
2010-07-01,-0.9156595422468125,hindcast,-0.73
2010-08-01,-1.17,observed,
2010-09-01,-1.2,observed,
2010-10-01,-1.23,observed,
2010-11-01,-1.09,observed,
2010-12-01,-1.13,observed,
2011-01-01,-1.03,observed,
2011-02-01,-0.94,observed,
2011-03-01,-1.06,observed,
2011-04-01,-1.18,observed,
2011-05-01,-1.29,observed,
2011-06-01,-1.4,observed,
2011-07-01,-1.51,observed,
2011-08-01,-1.61,observed,
2011-11-01,-1.78,observed,
2011-12-01,-1.59,observed,
2012-01-01,-1.57,observed,
2012-02-01,-1.59,observed,
2012-03-01,-1.66,observed,
2012-04-01,-1.77,observed,
2012-05-01,-1.82,observed,
2012-06-01,-1.84,observed,
2012-07-01,-1.73,observed,
2012-08-01,-1.73,observed,
2012-09-01,-1.63,observed,
2012-10-01,-1.39,observed,
2012-11-01,-1.07,observed,
2012-12-01,-0.7,observed,
2013-01-01,-0.47,observed,
2013-02-01,-0.35,observed,
2013-03-01,-0.37,observed,
2013-04-01,-0.53,observed,
2013-05-01,-0.63,observed,
2013-06-01,-0.75,observed,
2013-07-01,-0.9,observed,
2013-08-01,-0.96,observed,
2013-09-01,-1.04,observed,
2013-10-01,-0.94,observed,
2013-11-01,-0.9,observed,
2013-12-01,-0.81,observed,
2014-01-01,-0.09,observed,
2014-02-01,-0.17,observed,
2014-03-01,-0.12,observed,
2014-04-01,-0.25,observed,
2014-05-01,-0.44,observed,
2014-06-01,-0.62,observed,
2014-07-01,-0.76,observed,
2014-08-01,-0.89,observed,
2014-09-01,-1.04,observed,
2014-10-01,-0.9,observed,
2014-11-01,-0.8,observed,
2014-12-01,-0.81,observed,
2015-01-01,-0.73,observed,
2015-02-01,-0.77,observed,
2015-03-01,-0.84,observed,
2015-04-01,-0.94,observed,
2015-05-01,-0.94,observed,
2015-06-01,-1.05,observed,
2015-07-01,-1.18,observed,
2015-08-01,-1.3,observed,
2015-09-01,-1.44,observed,
2015-10-01,-1.52,observed,
2015-11-01,-1.38,observed,
2015-12-01,-0.75,observed,
2016-01-01,-0.41,observed,
2016-02-01,-0.19,observed,
2016-03-01,-0.24,observed,
2016-04-01,-0.28,observed,
2016-05-01,-0.47,observed,
2016-06-01,-0.55,observed,
2016-07-01,-0.7,observed,
2016-08-01,-0.83,observed,
2016-09-01,-0.93,observed,
2016-10-01,-1.04,observed,
2016-11-01,-1.01,observed,
2016-12-01,-1.03,observed,
2017-01-01,-1.005,observed,
2017-02-01,-0.98,observed,
2017-03-01,-0.85,observed,
2017-04-01,-0.96,observed,
2017-05-01,-1.14,observed,
2017-06-01,-1.17,observed,
2017-07-01,-1.28,observed,
2017-08-01,-1.38,observed,
2017-09-01,-1.44,observed,
2017-10-01,-1.51,observed,
2017-11-01,-1.25,observed,
2017-12-01,-1.09,observed,
2018-01-01,-0.96,observed,
2018-02-01,-0.81,observed,
2018-03-01,-0.71,observed,
2018-04-01,-0.72,observed,
2018-05-01,-0.9,observed,
2018-06-01,-1.06,observed,
2018-07-01,-1.23,observed,
2018-08-01,-1.39,observed,
2018-09-01,-1.46,observed,
2018-10-01,-1.45,observed,
2018-11-01,-1.3,observed,
2018-12-01,-1.15,observed,
2019-01-01,-1.16,observed,
2019-02-01,-1.19,observed,
2019-03-01,-1.07,observed,
2019-04-01,-1.11,observed,
2019-05-01,-1.27,observed,
2019-06-01,-1.36,observed,
2019-07-01,-1.49,observed,
2019-08-01,-1.6,observed,
2019-09-01,-1.68,observed,
2019-10-01,-1.48,observed,
2019-11-01,-1.35,observed,
2019-12-01,-1.27,observed,
2020-01-01,-1.15,observed,
2020-02-01,-0.95,observed,
2020-03-01,-0.86,observed,
2020-04-01,-1.05,observed,
2020-05-01,-1.19,observed,
2020-06-01,-1.31,observed,
2020-07-01,-1.4,observed,
2020-08-01,-1.2,observed,
2020-09-01,-1.24,observed,
2020-10-01,-1.18,observed,
2020-11-01,-0.98,observed,
2020-12-01,-0.71,observed,
2021-01-01,-0.25,observed,
2021-02-01,0.02,observed,
2021-03-01,0.05,observed,
2021-04-01,-0.07,observed,
2021-05-01,-0.08,observed,
2021-06-01,-0.36,observed,
2021-07-01,-0.58,observed,
2021-08-01,-0.74,observed,
2021-09-01,-0.84,observed,
2021-10-01,-0.48,observed,
2021-11-01,-0.47,observed,
2021-12-01,-0.3,observed,
2022-01-01,-0.35,observed,
2022-02-01,-0.31,observed,
2022-03-01,-0.42,observed,
2022-04-01,-0.56,observed,
2022-05-01,-0.65,observed,
2022-06-01,-0.86,observed,
2022-07-01,-1.04,observed,
2022-08-01,-1.21,observed,
2022-09-01,-1.33,observed,
2022-10-01,-1.43,observed,
2022-11-01,-1.19,observed,
2022-12-01,-1.0424590163934426,observed,
2023-01-01,-0.89,observed,
2023-02-01,-0.95,observed,
2023-03-01,-0.89,observed,
2023-04-01,-0.9,observed,
2023-05-01,-1.09,observed,
2023-06-01,-1.22,observed,
2023-07-01,-1.33,observed,
2023-08-01,-1.27,observed,
2023-09-01,-1.25,observed,
2023-10-01,-1.02,observed,
2023-11-01,-0.89,observed,
2023-12-01,-0.65,observed,
2024-01-01,-0.49,observed,
2024-02-01,-0.2,observed,
2024-03-01,-0.01,observed,
2024-04-01,0.03,observed,
2024-05-01,-0.22,observed,
2024-06-01,-0.48,observed,
2024-07-01,-0.59,observed,
2024-08-01,-0.76,observed,
2024-09-01,-0.9,observed,
2024-10-01,-0.9,observed,
2024-11-01,-1.01,observed,
2024-12-01,-0.71,observed,
2025-01-01,-0.56,observed,
2025-02-01,-0.49,observed,
2025-03-01,-0.66,observed,
2025-04-01,-0.81,observed,
2025-05-01,-0.98,observed,
2025-06-01,-1.03,observed,
2025-07-01,-1.2,observed,
2025-08-01,-1.4,observed,
2025-09-01,-1.32,observed,
2025-10-01,-1.43,observed,
2025-11-01,-0.99,observed,
2025-12-01,-0.64,observed,
2026-01-01,-0.6,observed,
2026-02-01,-0.44,observed,
