ranwell_site,nearest_well,nearest_well_network,nearest_well_dist_m,nearest_3_wells
1,ceh6,reference,54.210390765580414,ceh6 (54 m); ceh25 (94 m); llyn rhos (150 m)
4,ceh27,reference,138.12750768317298,ceh27 (138 m); nw13 (175 m); wmc4 (176 m)
5,D5,reference,79.44583105771207,D5 (79 m); nw3 (107 m); D15 (163 m)
6,D5,reference,205.89701333575638,D5 (206 m); nw3 (238 m); nw4b (252 m)
8,WMC2,reference,125.05700250031057,WMC2 (125 m); ceh42 (228 m); nw5 (291 m)
9,WMC2,reference,116.69338558801095,WMC2 (117 m); ceh42 (163 m); nw5 (358 m)
10,WMC2,reference,221.62951799869333,WMC2 (222 m); ceh42 (248 m); nw5 (431 m)
11,ceh28,reference,148.26119744346929,ceh28 (148 m); D6 (169 m); ceh26 (191 m)
12,D15,reference,114.03571337492374,D15 (114 m); D5 (209 m); nw3 (212 m)
13,nw2,reference,155.89090938573358,nw2 (156 m); nw1 (162 m); nw13 (183 m)
14,nw3,reference,70.86287058248872,nw3 (71 m); D6 (85 m); D5 (92 m)
15,ceh40,reference,83.00762618968025,ceh40 (83 m); pw (148 m); ceh39 (260 m)
16,ceh5,reference,91.80146383526497,ceh5 (92 m); ceh23 (133 m); p2 (145 m)
18,pw,extended,211.51768697525438,pw (212 m); D25 (229 m); WMC2 (253 m)
